Name,f_gas,M_tot * 10^14 * M_sun,Redshift,f_gasErr,M_totErr,Mhse,MhseErr
A1644,0.126,6.58,0.0470,0.011,0.72,6.69,0.58
A1795,0.144,6.76,0.0630,0.005,0.37,6.53,0.23
A2029,0.152,13.29,0.0773,0.006,0.78,12.25,0.49
A2142,0.168,16.37,0.0903,0.006,0.95,13.64,0.50
A2255,0.146,10.70,0.0801,0.018,0.77,10.33,1.23
A2319,0.237,20.11,0.0559,0.012,1.31,10.18,0.52
A3158,0.155,7.34,0.0590,0.010,0.46,6.63,0.39
A3266,0.108,14.49,0.0577,0.018,3.01,15.12,1.44
A644,0.139,8.35,0.0704,0.015,0.70,7.67,0.73
A85,0.159,9.56,0.0566,0.007,0.53,8.50,0.36
