,0,1,2,3,4,5,6,7,8,9
0,0.6297542833023642,0.1610710832005022,0.267548646927773,0.2600235042153529,0.20552341599530144,0.3653737157862192,0.4147619078646889,0.4348282385314017,,0.32178865834110204
1,0.6269306935015577,0.1597089282376448,0.2649277478916187,0.25701083972316596,0.2033507582097387,0.36297908477773916,0.4119847872599672,0.4320237718598516,,0.31958846200355157
2,0.6241512758823271,0.15838182387522923,0.2623865721077993,0.25410595630478783,0.20124832914174373,0.36063472477767333,0.4092679937893338,0.42927834750467675,,0.3174358957462719
3,0.6214148144753732,0.15708827413176502,0.259921072988177,0.2513024480043698,0.1992123664589529,0.35833884583371367,0.40660929415214947,0.42658984132151484,,0.3153292193122174
4,0.6187201413623876,0.15582687151771066,0.2575274891418641,0.24859443543937024,0.19723938652232587,0.356089747529813,0.40400657146946906,0.4239562369599053,,0.3132667815142521
5,0.616066134205304,0.1545962903875274,0.2552023188461911,0.24597651102677795,0.19532615824541677,0.3538858132433734,0.40145781749224874,0.42137561883173946,,0.3112470144011123
6,0.6134517139315959,0.1533952808940331,0.2529422972712025,0.24344369105087335,0.1934696799011321,0.35172550484993953,0.39896112544354634,0.41884616563788035,,0.3092684278869518
7,0.6108758425639604,0.1522226634814613,0.25074437611202965,0.240991373581225,0.1916671584899299,0.34960735783450964,0.396514683434212,0.4163661444009446,,0.30732960480132915
8,0.6083375211837367,0.1510773238612645,0.2486057053327638,0.23861530141221907,0.1899159913407417,0.34752997677285113,0.394116768398165,0.4139339049577821,,0.3054291963210796
9,0.6058357880183171,0.14995820842132054,0.24652361676689385,0.23631152932837776,0.18821374966373988,0.34549203114997495,0.39176574049915414,0.4115478748700704,,0.30356591774955644
