,MAIN_ID,Z_VALUE,RA,DEC
0,[BMA2003] BH 180,,01 57 18,-00 07.3
1,[GMB2011] 2896,0.351,01 57 17.788,-00 06 53.20
2,[GMB2011] 2924,0.288,01 56 27.838,-00 14 45.08
3,[GMB2011] 2945,0.294,01 57 08.730,-00 08 30.60
4,[GMB2011] 3001,0.135,01 57 44.819,-00 09 00.18
5,[GMB2011] 3039,0.182,01 57 17.221,-00 08 58.09
6,[GMB2011] 3063,0.27,01 57 50.643,-00 08 56.58
7,[GMB2011] 3066,0.37,01 57 23.361,-00 09 13.28
8,[SPD2011] 131,0.4292,01 57 26.1,-00 08 51
9,[SPD2011] 7836,0.4291,01 56 31.3,-00 14 10
10,[RRB2014] RM J015635.5-001634.2,0.415,01 56 35.5,-00 16 34
11,[RRB2014] RM J015716.0-000718.2,0.38783,01 57 15.9,-00 07 18
12,[RRB2014] RM J015725.0-001856.2,0.44041,01 57 25.0,-00 18 56
13,[AWK2020] 857,0.135185,01 57 49.45,-00 07 54.9
14,[RRB2014] RM J015730.1-001232.9,0.42937,01 57 30.0732,-00 12 32.909
15,[RRB2014] RM J015648.9-002425.6,0.60612,01 56 48.8766,-00 24 25.573
